"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3442","User login test @master @sanity @regression","chromium","2026-04-04","failed","2026-04-04","","Login.spec.ts","",""
"","7588","Add product to cart test @master @regression","chromium","2026-04-04","passed","2026-04-04","","AddToCart.spec.ts","",""
"","2085","Product search test @master @regression","chromium","2026-04-04","passed","2026-04-04","","SearchProduct.spec.ts","",""
"","13085","execute end-to-end test flow @end-to-end","chromium","2026-04-04","passed","2026-04-04","","EndToEndTest.spec.ts","",""
"","15318","User registration test @master @sanity @regression","chromium","2026-04-04","passed","2026-04-04","","AccountRegistration.spec.ts","",""
"","2591","User logout test @master @regression","chromium","2026-04-04","failed","2026-04-04","","Logout.spec.ts","",""
